description,price,url,condition
"Refurbished: DELL Grade B Laptop Latitude 5580 Intel Core i5 6th Gen 6300U (2.40GHz) 16GB Memory 256 GB SSD Intel HD Graphics 520 15.6"" Windows 10 Pro 64-bit",$468.99 –,https://www.newegg.com/dell-latitude-5580/p/N82E16834343029?Item=N82E16834343029&Description=laptop&cm_re=laptop-_-34-343-029-_-Product,old
"Refurbished: DELL Grade A Laptop 7275 Intel Core M5 6Y57 (1.10GHz) 8GB Memory 256 GB SSD 12.5"" Touchscreen Windows 10 Pro 64-Bit",$299.99 –,https://www.newegg.com/dell-7275/p/N82E16834944254?Item=N82E16834944254&Description=laptop&cm_re=laptop-_-34-944-254-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5480 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$551.99 –,https://www.newegg.com/dell-latitude-5480/p/N82E16834343219?Item=N82E16834343219&Description=laptop&cm_re=laptop-_-34-343-219-_-Product,old
"Refurbished: DELL Laptop Latitude E7440 Intel Core i5 4th Gen 4300U (1.90GHz) 8GB Memory 500GB HDD 14.0"" Windows 10 Pro 64-Bit",$401.99 –,https://www.newegg.com/black-silver-dell-latitude-e7440/p/N82E16834861944?Item=N82E16834861944&Description=laptop&cm_re=laptop-_-34-861-944-_-Product,old
"Refurbished: DELL Grade A Laptop 5490 Intel Core i5 7th Gen 7300U (2.60GHz) 8GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$449.99 –,https://www.newegg.com/dell-5490/p/N82E16834343185?Item=N82E16834343185&Description=laptop&cm_re=laptop-_-34-343-185-_-Product,old
"Refurbished: DELL Grade A Laptop 5480 Intel Core i5 6th Gen 6200U (2.30GHz) 8GB Memory 500 GB SSD 14.0"" Windows 10 Pro 64-Bit",$393.99 –,https://www.newegg.com/dell-5480/p/N82E16834944207?Item=N82E16834944207&Description=laptop&cm_re=laptop-_-34-944-207-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7490 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB M.2 NVMe SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",$889.99 –,https://www.newegg.com/gray-dell-latitude-7490-work-business/p/N82E16834343316?Item=N82E16834343316&Description=laptop&cm_re=laptop-_-34-343-316-_-Product,old
Refurbished: Dell Latitude E7250 12.5 in Laptop - Intel Core i5 5300U 5th Gen 2.3 GHz 8GB 256GB SSD Windows 10 Pro 64-Bit - Webcam,$359.99 –,https://www.newegg.com/dell-latitude-e7250/p/1TS-000A-0AR75?Item=1TS-000A-0AR75&Description=laptop&cm_re=laptop-_-1TS-000A-0AR75-_-Product,old
"Refurbished: DELL Laptop Precision 7510 Core i7 6820HQ (2.70GHz) 16GB Memory 480 SSD 15.6"" Windows 10",$587.99 –,https://www.newegg.com/gray-dell-precision-7510-workstation/p/N82E16834844787?Item=N82E16834844787&Description=laptop&cm_re=laptop-_-34-844-787-_-Product,old
"Refurbished: DELL Grade B Laptop Latitude 5580 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-bit",$489.99 –,https://www.newegg.com/dell-latitude-5580/p/N82E16834343226?Item=N82E16834343226&Description=laptop&cm_re=laptop-_-34-343-226-_-Product,old
"Refurbished: DELL A Grade Laptop 5490 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$507.99 –,https://www.newegg.com/dell-5490-mainstream/p/N82E16834843665?Item=N82E16834843665&Description=laptop&cm_re=laptop-_-34-843-665-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude E7470 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",$462.99 –,https://www.newegg.com/dell-latitude-e7470/p/N82E16834343025?Item=N82E16834343025&Description=laptop&cm_re=laptop-_-34-343-025-_-Product,old
"Refurbished: DELL Grade A aptop Latitude E5470 Intel Core i7 6th Gen 6820HQ (2.70GHz) 16GB Memory 512 GB SSD Intel HD Graphics 530 14.0"" Windows 10 Pro 64-bit",$532.99 –,https://www.newegg.com/dell-latitude-e5470/p/N82E16834343242?Item=N82E16834343242&Description=laptop&cm_re=laptop-_-34-343-242-_-Product,old
"Refurbished: DELL Grade B Laptop Latitude 5590 Intel Core i5 8th Gen 8250U (1.60GHz) 16GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",$585.99 –,https://www.newegg.com/dell-latitude-5590/p/N82E16834343328?Item=N82E16834343328&Description=laptop&cm_re=laptop-_-34-343-328-_-Product,old
"Refurbished: DELL Grade A Laptop Precision 7510 Intel i7-6820HQ (2.7GHz) 32GB Memory 512 GB SSD 15.6"" Windows 10 Pro",$737.99 –,https://www.newegg.com/gray-dell-precision-7510-workstation/p/N82E16834843523?Item=N82E16834843523&Description=laptop&cm_re=laptop-_-34-843-523-_-Product,old
"Refurbished: DELL 7480 Laptop Intel Core i7 7th Gen 7600U (2.80 GHz) 16 GB Memory 512 GB SSD 14.0"" Windows 10 Pro B Grade",$543.99 –,https://www.newegg.com/dell-7480/p/N82E16834843173?Item=N82E16834843173&Description=laptop&cm_re=laptop-_-34-843-173-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 14 Rugged 5414 Intel Core i5 6th Gen 6300U (2.40GHz) 16GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Touchscreen Windows 10 Pro 64-bit",$833.99 –,https://www.newegg.com/dell-latitude-14-rugged-5414/p/N82E16834343278?Item=N82E16834343278&Description=laptop&cm_re=laptop-_-34-343-278-_-Product,old
"[Windows 11 Home] Newest ASUS VivoBook 15 Laptop, 15.6” Full HD Touchscreen, Intel Core i3-1115G4, 20GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, USB Type-C, HDMI, Wi-Fi, Slate Gray","$1,059.00 –",https://www.newegg.com/p/1TS-001A-051R9?Item=9SIB295GRB0516&cm_sp=SH-_-935132-_-8-_-0-_-9SIB295GRB0516-_-laptop-_-laptop-_-5,old
"KUU-A8S Pro 15.6"" Portable Laptop Intel Celeron J4125 Windows 10 Pro Notebook 1920**1080 IPS Screen 8GB RAM+256GB SSD Dual-band WIFI RJ45","$1,099.00 –",https://www.newegg.com/p/1TS-00BK-00061?Item=9SIANGPG7E1743&cm_sp=SH-_-947327-_-8-_-2-_-9SIANGPG7E1743-_-laptop-_-laptop-_-6,old
"HP 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Windows 10 Home, Silver",$559.00 –,https://www.newegg.com/p/1TS-000D-0JK29?cm_sp=SH-_-986809-_-8-_-0-_-9SIB0GJF255306-_-laptop-_-laptop-_-4&Item=9SIB0GJF255306,old
"HP 2022 Newest Envy 17t High Performance Laptop, 17.3"" Full HD Touchscreen, 11th Gen Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro",$489.00 –,https://www.newegg.com/p/1TS-000D-0SY54?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGSZ4873-_-laptop-_-laptop-_-1&Item=9SIB0GJGSZ4873,old
"[Windows 11 Home] Newest ASUS VivoBook 15 Laptop, 15.6” Full HD Touchscreen, Intel Core i3-1115G4, 12GB RAM, 256GB SSD, Backlit Keyboard, Fingerprint Reader, USB Type-C, HDMI, Wi-Fi, Slate Gray",$345.99 –,https://www.newegg.com/p/1TS-001A-051R3?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJ88624-_-laptop-_-laptop-_-2&Item=9SIB0GJGJ88624,old
"[Windows 11 Home] Newest HP Laptop, 15.6” Full HD, AMD Athlon Silver 3050u, 8GB RAM, 256GB SSD, Media Card Reader, USB Type-C, HDMI, Webcam, Wi-Fi, Bluetooth, Silver",$527.99 –,https://www.newegg.com/p/1TS-000D-0S3K6?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJF1960-_-laptop-_-laptop-_-3&Item=9SIB0GJGJF1960,old
Refurbished: Dell Latitude E7250 12.5 in Laptop - Intel Core i5 5300U 5th Gen 2.30 GHz 8GB 128GB SSD Windows 10 Pro 64-Bit - Webcam,$800.99 –,https://www.newegg.com/dell-latitude-e7250/p/1TS-000A-0ASK1?Item=1TS-000A-0ASK1&Description=laptop&cm_re=laptop-_-1TS-000A-0ASK1-_-Product,old
"Refurbished: DELL Grade A Laptop 7480 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 1 TB SSD 14.0"" Windows 10 Pro",$346.99 –,https://www.newegg.com/dell-7480/p/N82E16834843172?Item=N82E16834843172&Description=laptop&cm_re=laptop-_-34-843-172-_-Product,old
"Refurbished: DELL Laptop Precision 5520 Core i7 6820HQ (2.70GHz) 16GB Memory 1000 SSD 15.6"" Windows 10",$239.99 –,https://www.newegg.com/gray-dell-precision-5520-workstation/p/N82E16834844784?Item=N82E16834844784&Description=laptop&cm_re=laptop-_-34-844-784-_-Product,old
"Refurbished: DELL B Grade Laptop 5480 Intel Core i5 6th Gen 6440HQ (2.6GHz) 8GB Memory 256 GB SSD Intel HD Graphics 530 14.0"" Windows 10 Pro 64-bit",$694.99 –,https://www.newegg.com/gray-dell-5480-workstation/p/N82E16834343075?Item=N82E16834343075&Description=laptop&cm_re=laptop-_-34-343-075-_-Product,old
"Refurbished: DELL Latitude E7250 12.5"" 1366x768 Notebook PC, Intel Core i5-5300U 2.3GHz, 8GB DDR3 RAM, 256GB SSD, Win-10 Pro x64 Grade B",$770.99 –,https://www.newegg.com/black-dell-latitude-e7250-mainstream/p/1TS-000A-03YU3?Item=9SIADT28PH3901&Description=laptop&cm_re=laptop-_-1TS-000A-03YU3-_-Product,old
"Refurbished: DELL Grade A Laptop E5570 Core i7 6820HQ (2.70GHz) 16GB Memory 1000 SSD 15.6"" Windows 10",$468.99 –,https://www.newegg.com/gray-dell-e5570-workstation/p/N82E16834844763?Item=N82E16834844763&Description=laptop&cm_re=laptop-_-34-844-763-_-Product,old
Refurbished: DELL Grade A Laptop Precision 7510 Intel i7-6820HQ (2.7GHz) 32GB Memory 1 TB SSD 15.6 Windows 10 Pro,$491.99 –,https://www.newegg.com/gray-dell-precision-7510-workstation/p/N82E16834843522?Item=N82E16834843522&Description=laptop&cm_re=laptop-_-34-843-522-_-Product,old
"Refurbished: DELL Laptop 7480 Intel Core i5 6th Gen 6300U (2.40GHz) 16GB Memory 512 GB M.2 SSD 14.0"" Windows 10 Pro 64bit",$389.99 –,https://www.newegg.com/dell-7480/p/N82E16834343085?Item=N82E16834343085&Description=laptop&cm_re=laptop-_-34-343-085-_-Product,old
"Refurbished: DELL A Grade Laptop E5470 Intel Core i7 6th Gen 6600U (2.60GHz) 8GB Memory 512 GB SSD 14.0"" Windows 10 Pro 64-bit",$449.99 –,https://www.newegg.com/dell-e5470/p/N82E16834843668?Item=N82E16834843668&Description=laptop&cm_re=laptop-_-34-843-668-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5480 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",$499.99 –,https://www.newegg.com/dell-latitude-5480/p/N82E16834343218?Item=N82E16834343218&Description=laptop&cm_re=laptop-_-34-343-218-_-Product,old
"Refurbished: DELL Laptop 5490 Intel Core i5 7th Gen 7300U (2.60GHz) 8GB Memory 512 GB SSD 14.0"" Windows 10 Pro 64bit",$369.99 –,https://www.newegg.com/dell-5490/p/N82E16834343080?Item=N82E16834343080&Description=laptop&cm_re=laptop-_-34-343-080-_-Product,old
"Refurbished: Dell Latitude 3580 15.6"" 1366x768 HD Laptop PC, Intel Core i5-7200U 2.5GHz, 8GB DDR4 RAM, 512GB SSD, Win 10 Pro Grade A",$593.99 –,https://www.newegg.com/black-dell-latitude-3580-mainstream/p/1TS-000A-0DPZ7?Item=9SIADT2E8D4219&Description=laptop&cm_re=laptop-_-9SIADT2E8D4219-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7280 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 512 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Pro 64-bit",$356.99 –,https://www.newegg.com/dell-latitude-7280/p/N82E16834343229?Item=N82E16834343229&Description=laptop&cm_re=laptop-_-34-343-229-_-Product,old
"Refurbished: DELL Grade A Laptop 7390 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Pro 64-bit",$390.99 –,https://www.newegg.com/dell-7390/p/N82E16834343186?Item=N82E16834343186&Description=laptop&cm_re=laptop-_-34-343-186-_-Product,old
